KEY,標準,標準_日本語,倉庫,倉庫_日本語,FUJI,FUJI_日本語,FUJI岡崎,FUJI豊田,FUJI豊田(機械加工),ELS,明和,東栄電機,NFT,東芝産業機器システム,フジプレアム,ツガル精密機器,富士電機,日本マイクロニクス
key.SetStandardStartTime,Please set the standard starting time of work.,作業の基準開始時間を設定してください.,,,,,,,,,,,,,,,,
key.setting.Title,,,,,Settings,設定,〇,,,,,,,,,,,
key.SettingBPMNWork,,,,,Setting Work,ワークの設定,〇,,,,,,,,,,,
key.SettingSystemTitle,Setting System,システム設定,,,,,,,,,,,,,,,,
key.ShelfMove,Shelf Move,棚移動,Shelf Move,棚移動,,,,,,,,,,,,,,
key.Shipments,,,,,Shipments,出荷件数,〇,,,,,,,,,,,
key.show.Actual.Config,,,,,Show ActualConfig,表示設定:実績,〇,,,,,,,,,,,
key.show.Actual.TimeUnit,,,,,Actual TimeUnit,実績の時間単位設定,〇,,,,,,,,,,,
key.ShowDays,ShowDays,表示日数,,,,,,,,,,,,,,,,
key.ShowFrame,Show frame (needs restarting),フレームを表示する(再起動が必要),,,,,,,,,,,,,,,,
key.ShowHoliday,ShowHoliday,休日表示,,,,,,,,,,,,,,,,
key.ShowMonths,ShowMonths,表示月数,,,,,,,,,,,,,,,,
key.ShowOrder,表示順,表示順,,,,,,,,,,,,,,,,
key.ShowOrganization,表示する組織,表示する組織,,,.Show Organization,表示する組織,〇,,,,,,,,,,,
key.ShowUnitTemplate,Show UnitTemplate,表示する機種,,,,,,,,,,,,,,,,
key.Skip,Skip,スキップ,,,,,,,,,,,,,,,,
key.SpecifyKanbanHierarchy,Specify kanban hierarchy,カンバン階層を指定する,,,,,,,,,,,,,,,,
key.Standard,Standard,規格,Standard,規格,,,,,,,,,,,,,,
key.StandardDay,標準作業日,標準作業日,,,,,,,,,,,,,,,,
key.StandardStartTime,the standard starting time,基準開始時間設定,,,,,,,,,,,,,,,,
key.StandardTime,標準作業時間,標準作業時間,,,,,,,,,,,,,,,,
key.start,開始,開始,,,,,,,,,,,,,,,,
key.startDate,Start Date,開始日,,,,,,,,,,,,,,,,
key.StartDateAndTime,Start date and time,開始日時,,,,,,,,,,,,,,,,
key.started,作業中,作業中,,,,,,,,,,,,,,,,
key.StartFlow,Start,開始,,,,,,,,,,,,,,,,
key.StartNumber,Start number,開始番号,Start number,開始番号,,,,,,,,,,,,,,
key.StartParallelFlow,StartParallelFlow,並列作業開始,,,,,,,,,,,,,,,,
key.StartScheduledDate,Start Scheduled Date,開始予定日,,,,,,,,,,,,,,,,
key.StartScheduledDateAndTime,Start Scheduled Date And Time,開始予定日時,,,,,,,,,,,,,,,,
key.StartScheduledTime,Start Scheduled Time,開始予定時間,,,,,,,,,,,,,,,,
key.StartTime,Start Time,開始時間,,,,,,,,,,,,,,,,
key.startTime,Start Time [HH:mm],表示の開始時間[HH:mm],,,,,,,,,,,,,,,,
key.StartTimeCount,Start CountDown[sec],スタートカウントダウン[秒],,,,,,,,,,,,,,,,
key.StartTimeForTally,StartTimeForTally,集計開始時間,,,,,,,,,,,,,,,,
key.StartWorkTime,Start work time (hh:mm),開始時間 (hh:mm),,,,,,,,,,,,,,,,
key.StateCanceled,Request Canceled,申請取消,,,,,,,,,,,,,,,,
key.StateFinalApproved,FinalApproved,最終承認済,,,,,,,,,,,,,,,,
key.StateRejected,Rejected,却下,,,,,,,,,,,,,,,,
key.StateRequesting,Requesting,申請中,,,,,,,,,,,,,,,,
key.StateUnapproved,Unapproved,未承認,,,,,,,,,,,,,,,,
key.Status,Status,ステータス,,,,,,,,,,,,,,,,
key.StatusMelodyPath,Melody file path,メロディファイルパス,,,,,,,,,,,,,,,,
key.StatusMelodyRepeart,Repeated melody,メロディ繰り返し,,,,,,,,,,,,,,,,
key.StatusMonitorNotation,monitor on the notation,進捗モニター上表記,,,,,,,,,,,,,,,,
key.StatusPatternBreakTime,Break Time,休憩時間,,,,,,,,,,,,,,,,
key.StatusPatternCalling,Calling,呼び出し,,,,,,,,,,,,,,,,
key.StatusPatternCompDelayComp,COMP DELAYCOMP,予定遅れで完了,,,,,,,,,,,,,,,,
key.StatusPatternCompNormal,COMP NORMAL,予定通り,,,,,,,,,,,,,,,,
key.StatusPatternInterruptNormal,SUSPEND NORMAL,中止,,,,,,,,,,,,,,,,
key.StatusPatternPlanDelayStart,PLAN DELAYSTART,開始遅れ,,,,,,,,,,,,,,,,
key.StatusPatternPlanNormal,PLAN NORMAL,予定通り,,,,,,,,,,,,,,,,
key.StatusPatternSuspendNormal,INTERRUPT NORMAL,一時中断,,,,,,,,,,,,,,,,
key.StatusPatternWorkDelayStart,WORK DELAYSTART,予定遅れで開始,,,,,,,,,,,,,,,,
key.StatusPatternWorkDerayComp,WORK DELAYCOMP,完了予定遅れ,,,,,,,,,,,,,,,,
key.StatusPatternWorkNormal,WORK NORMAL,予定通り,,,,,,,,,,,,,,,,
key.step.following,工程の追従,工程の追従,,,,,,,,,,,,,,,,
key.StktakeLabelNo,連番,連番,,,,,,,,,,,,,,,,
key.Stock,Stock,在庫,Stock,在庫,,,,,,,,,,,,,,
key.StockDate,Stock Date,最終入庫日,,,,,,,,,,,,,,,,
key.StockoutList,Stockout List,欠品リスト,Stockout List,欠品リスト,,,,,,,,,,,,,,
key.StockQuantity,Stock Quantity,在庫数,Stock Quantity,在庫数,,,,,,,,,,,,,,
key.StockScheduledDate,stock scheduled date,入荷予定日,,,,,,,,,,,,,,,,
key.StockView,Inventory Inquiry,在庫照会,,,,,,,,,,,,,,,,
key.StorageNumbers,Location,棚番,Location,棚番,,,,,,,,,,,,,,
key.SuccessExport,Success Export,エクスポートに成功しました。,,,,,,,,,,,,,,,,
key.SummaryReportTitle,SummaryReport,サマリーレポート,,,,,,,,,,,,,,,,
key.Sunday,Sun,日曜日,,,,,,,,,,,,,,,,
key.SuppliedParts,支給品,支給品,,,,,,,,,,,,,,,,
key.SuppliedPartsList,Supplied parts list,支給品リスト,,,,,,,,,,,,,,,,
key.SupplyNo,Supply No,発注番号,,,,,,,,,,,,,,,,
key.suspend,中断,中断,,,,,,,,,,,,,,,,
